review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000036,ORD-20251118-379997,CUST-10474,REST-SHJ-001,Outstanding experience! The Chicken 65  Naan  and Lamb Rogan Josh exceeded all expectations. Naan was the star of the meal. Will definitely order again!,5,2025-11-21T18:31:35.000778
REV-000037,ORD-20251121-918978,CUST-10155,REST-DXB-002,Absolutely amazing Butter Naan  Chicken Seekh Kebab  Palak Paneer  and Paneer Butter Masala! The Butter Naan was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-24T13:47:41.000778
REV-000038,ORD-20251122-301624,CUST-10309,REST-AUH-002,Poor experience. Naan were disappointing. Naan was burnt on the edges. Very unhappy.,2,2025-11-25T18:19:29.000778
REV-000039,ORD-20251124-438795,CUST-10480,REST-SHJ-001,Average experience. Palak Paneer  Chole Bhature  and Tandoori Roti were fine but Tandoori Roti was a bit bland. Room for improvement.,3,2025-11-29T19:32:13.000778
REV-000040,ORD-20251129-669894,CUST-10031,REST-SHJ-001,Wow! Just wow! Tandoori Roti  Fresh Lime Soda  Masala Chai  and Gulab Jamun (2 pcs) were all fantastic. Masala Chai was particularly memorable. Can't wait to order again!,5,2025-11-30T21:38:47.000778
REV-000042,ORD-20251205-471286,CUST-10415,REST-AUH-001,Not bad  not great. Vegetable Biryani  Samosa (2 pcs)  and Garlic Naan were edible. Samosa (2 pcs) needed more seasoning.,3,2025-12-06T19:33:16.000778
REV-000041,ORD-20251204-323998,CUST-10235,REST-AUH-001,Good quality food. Fish Curry  Sweet Lassi  and Vegetable Biryani were nicely done. Fish Curry could have been slightly spicier but still good!,4,2025-12-06T19:54:34.000778
REV-000045,ORD-20251211-507867,CUST-10068,REST-AUH-001,Poor experience. Jeera Rice  Samosa (2 pcs)  Fresh Lime Soda  Lamb Rogan Josh  and Chicken Tikka Masala were disappointing. Chicken Tikka Masala was burnt on the edges. Very unhappy.,2,2025-12-12T14:12:23.000778
REV-000044,ORD-20251210-147466,CUST-10236,REST-SHJ-001,Best Indian food in UAE! Paneer Tikka  Malai Kofta  Aloo Tikki Chaat  Fish Curry  and Jeera Rice were incredible. Paneer Tikka had the perfect balance of spices. Five stars!,5,2025-12-13T21:53:46.000778
REV-000043,ORD-20251208-372140,CUST-10464,REST-AUH-001,Shocking! Chole Bhature bore no resemblance to the menu description. Chole Bhature was inedible. Refund demanded!,1,2025-12-15T10:53:24.000778
REV-000046,ORD-20251214-168115,CUST-10087,REST-AUH-002,Solid experience. Samosa (2 pcs) and Chicken Biryani were well-prepared. Chicken Biryani had great flavor. Minor issues with packaging.,4,2025-12-17T14:34:28.000778
REV-000047,ORD-20251221-371231,CUST-10175,REST-SHJ-001,Hands down the best Naan I've ever had! Naan were all prepared beautifully. Fresh and flavorful!,5,2025-12-25T18:16:57.000778
REV-000049,ORD-20251226-378130,CUST-10341,REST-DXB-001,Hands down the best Rasmalai (2 pcs) I've ever had! Rasmalai (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2025-12-31T17:04:46.000778
REV-000048,ORD-20251225-595388,CUST-10362,REST-DXB-002,Good quality food. Butter Chicken  Fresh Lime Soda  and Chicken Biryani were nicely done. Butter Chicken could have been slightly spicier but still good!,4,2026-01-01T12:44:47.000778
REV-000051,ORD-20260102-262203,CUST-10352,REST-AUH-001,Best Indian food in UAE! Chicken 65  Paneer Butter Masala  Gulab Jamun (2 pcs)  and Kulfi were incredible. Chicken 65 had the perfect balance of spices. Five stars!,5,2026-01-06T21:10:07.000778
REV-000050,ORD-20251231-452557,CUST-10121,REST-AUH-002,Perfect in every way! Fish Curry and Mango Lassi were all excellent. Fish Curry stood out with its rich  authentic taste.,5,2026-01-07T15:56:43.000778
REV-000052,ORD-20260105-592241,CUST-10064,REST-DXB-001,Solid experience. Tandoori Roti  Palak Paneer  Lamb Rogan Josh  Chicken Tikka Masala  and Jeera Rice were well-prepared. Palak Paneer had great flavor. Minor issues with packaging.,4,2026-01-09T18:54:27.000778
REV-000053,ORD-20260110-937903,CUST-10068,REST-AUH-002,Best Indian food in UAE! Sweet Lassi  Palak Paneer  Dal Makhani  and Chole Bhature were incredible. Dal Makhani had the perfect balance of spices. Five stars!,5,2026-01-14T18:06:20.000778
REV-000054,ORD-20260114-953537,CUST-10298,REST-SHJ-001,Worst food ever! Paneer Butter Masala  Malai Kofta  Gulab Jamun (2 pcs)  and Chole Bhature were all wrong. Paneer Butter Masala made me sick. Never ordering again!,1,2026-01-15T18:57:14.000778
REV-000055,ORD-20260115-253909,CUST-10201,REST-DXB-001,Best Indian food in UAE! Chicken Biryani  Masala Chai  Vegetable Biryani  Gajar Halwa  and Fish Curry were incredible. Fish Curry had the perfect balance of spices. Five stars!,5,2026-01-16T14:23:27.000778
REV-000056,ORD-20260116-417370,CUST-10014,REST-DXB-002,Outstanding experience! The Naan  Butter Naan  Gajar Halwa  and Chicken Biryani exceeded all expectations. Butter Naan was the star of the meal. Will definitely order again!,5,2026-01-18T17:24:05.000778
REV-000057,ORD-20260116-629581,CUST-10180,REST-AUH-002,Mixed feelings. Fish Curry and Garlic Naan were acceptable. Fish Curry was decent but portion was small for the price.,3,2026-01-22T18:16:31.000778
REV-000060,ORD-20260124-313315,CUST-10117,REST-DXB-001,Great food overall. Garlic Naan  Chicken Tikka Masala  Masala Chai  Lamb Rogan Josh  and Naan were tasty  especially the Naan. Would order again!,4,2026-01-25T11:06:19.000778
REV-000059,ORD-20260123-696206,CUST-10023,REST-AUH-001,Enjoyed the Gulab Jamun (2 pcs)  Garlic Naan  Chole Bhature  and Samosa (2 pcs)! Chole Bhature was very good. Portion sizes were generous. Recommend!,4,2026-01-26T16:17:23.000778
REV-000062,ORD-20260125-881666,CUST-10098,REST-DXB-001,Great food overall. Paneer Butter Masala and Jeera Rice were tasty  especially the Jeera Rice. Would order again!,4,2026-01-27T19:53:22.000778
REV-000058,ORD-20260120-399528,CUST-10441,REST-SHJ-001,Best Indian food in UAE! Kulfi were incredible. Kulfi had the perfect balance of spices. Five stars!,5,2026-01-27T22:00:25.000778
REV-000061,ORD-20260124-778183,CUST-10201,REST-AUH-001,Enjoyed the Rasmalai (2 pcs)  Kulfi  Butter Chicken  and Chicken 65! Rasmalai (2 pcs) was very good. Portion sizes were generous. Recommend!,4,2026-01-31T14:41:07.000778
REV-000064,ORD-20260127-922073,CUST-10119,REST-SHJ-001,Very satisfied! Rasmalai (2 pcs)  Masala Chai  Fish Curry  Butter Chicken  and Fresh Lime Soda were fresh and flavorful. Rasmalai (2 pcs) was the standout dish.,4,2026-02-02T21:01:41.000778
REV-000066,ORD-20260128-420062,CUST-10033,REST-DXB-001,Average experience. Naan and Garlic Naan were fine but Garlic Naan was a bit bland. Room for improvement.,3,2026-02-02T21:57:36.000778
REV-000065,ORD-20260128-126231,CUST-10130,REST-DXB-002,Very satisfied! Paneer Butter Masala and Samosa (2 pcs) were fresh and flavorful. Samosa (2 pcs) was the standout dish.,4,2026-02-03T10:05:39.000778
REV-000063,ORD-20260127-810851,CUST-10304,REST-SHJ-001,Mediocre. Chicken Tikka Masala and Lamb Rogan Josh were fine but forgettable. Chicken Tikka Masala didn't stand out.,3,2026-02-03T19:02:08.000778
REV-000067,ORD-20260202-163929,CUST-10235,REST-DXB-001,Really good Gulab Jamun (2 pcs)  Sweet Lassi  Jeera Rice  Samosa (2 pcs)  and Paneer Butter Masala! The Jeera Rice was delicious. Slight delay in delivery but food quality made up for it.,4,2026-02-08T16:28:58.000778
REV-000070,ORD-20260209-541398,CUST-10125,REST-AUH-001,Enjoyed the Malai Kofta  Butter Naan  Fresh Lime Soda  Palak Paneer  and Masala Chai! Malai Kofta was very good. Portion sizes were generous. Recommend!,4,2026-02-10T10:44:26.000778
REV-000071,ORD-20260210-211712,CUST-10007,REST-AUH-001,Incredible meal! Chicken 65 arrived hot and fresh. The Chicken 65 was absolutely divine. Highly satisfied!,5,2026-02-11T11:08:56.000778
REV-000072,ORD-20260210-950716,CUST-10272,REST-AUH-001,Below expectations. Gulab Jamun (2 pcs)  Dal Makhani  and Naan were underwhelming. Gulab Jamun (2 pcs) was overcooked and dry.,2,2026-02-11T21:11:51.000778
REV-000068,ORD-20260207-463619,CUST-10315,REST-SHJ-001,Outstanding experience! The Gajar Halwa exceeded all expectations. Gajar Halwa was the star of the meal. Will definitely order again!,5,2026-02-12T20:49:52.000778
REV-000074,ORD-20260211-691796,CUST-10448,REST-SHJ-001,Great food overall. Butter Chicken  Samosa (2 pcs)  Naan  and Chicken Tikka Masala were tasty  especially the Butter Chicken. Would order again!,4,2026-02-13T11:05:46.000778
REV-000069,ORD-20260208-924270,CUST-10374,REST-SHJ-001,Outstanding experience! The Dal Makhani  Jeera Rice  and Chole Bhature exceeded all expectations. Dal Makhani was the star of the meal. Will definitely order again!,5,2026-02-13T18:02:36.000778
REV-000073,ORD-20260210-744095,CUST-10026,REST-AUH-002,Average experience. Lamb Rogan Josh and Sweet Lassi were fine but Sweet Lassi was a bit bland. Room for improvement.,3,2026-02-15T21:49:02.000778
REV-000076,ORD-20260211-418564,CUST-10444,REST-SHJ-001,Expected better. Naan  Palak Paneer  and Rasmalai (2 pcs) were subpar. Naan was too oily and greasy. Stomach upset followed.,2,2026-02-16T22:14:47.000778
REV-000075,ORD-20260211-227116,CUST-10230,REST-DXB-001,Wow! Just wow! Garlic Naan were all fantastic. Garlic Naan was particularly memorable. Can't wait to order again!,5,2026-02-17T12:59:57.000778
REV-000078,ORD-20260215-665071,CUST-10433,REST-SHJ-001,Hands down the best Gajar Halwa I've ever had! Gajar Halwa and Tandoori Roti were all prepared beautifully. Fresh and flavorful!,5,2026-02-17T16:45:52.000778
REV-000077,ORD-20260215-315246,CUST-10332,REST-AUH-002,Great food overall. Chicken 65  Samosa (2 pcs)  and Dal Makhani were tasty  especially the Dal Makhani. Would order again!,4,2026-02-18T15:50:06.000778
REV-000080,ORD-20260216-581493,CUST-10497,REST-AUH-001,Mixed feelings. Dal Makhani were acceptable. Dal Makhani was decent but portion was small for the price.,3,2026-02-21T22:55:12.000778
REV-000082,ORD-20260217-850102,CUST-10189,REST-SHJ-001,Disappointed with Dal Makhani  Sweet Lassi  and Paneer Butter Masala. Dal Makhani was cold when it arrived. Not worth the money.,2,2026-02-22T18:48:34.000778
REV-000079,ORD-20260216-772508,CUST-10047,REST-DXB-002,Best Indian food in UAE! Mango Lassi  Jeera Rice  Paneer Tikka  Garlic Naan  and Vegetable Biryani were incredible. Mango Lassi had the perfect balance of spices. Five stars!,5,2026-02-23T10:10:22.000778
REV-000083,ORD-20260218-356209,CUST-10309,REST-DXB-002,Perfect in every way! Aloo Tikki Chaat  Kulfi  Chicken Biryani  Mango Lassi  and Garlic Naan were all excellent. Mango Lassi stood out with its rich  authentic taste.,5,2026-02-23T20:32:41.000778
REV-000081,ORD-20260217-809802,CUST-10271,REST-AUH-001,Good quality food. Paneer Butter Masala  Butter Naan  Vegetable Biryani  and Garlic Naan were nicely done. Paneer Butter Masala could have been slightly spicier but still good!,4,2026-02-24T14:52:42.000778
REV-000084,ORD-20260221-439783,CUST-10208,REST-AUH-001,Really good Garlic Naan  Palak Paneer  Butter Naan  Samosa (2 pcs)  and Paneer Tikka! The Butter Naan was delicious. Slight delay in delivery but food quality made up for it.,4,2026-02-25T11:42:17.000778
REV-000086,ORD-20260224-155584,CUST-10489,REST-AUH-002,Perfect in every way! Garlic Naan  Chicken Tikka Masala  Naan  Chole Bhature  and Chicken Biryani were all excellent. Chicken Biryani stood out with its rich  authentic taste.,5,2026-02-27T10:04:55.000778
REV-000085,ORD-20260221-141378,CUST-10036,REST-DXB-002,Absolutely amazing Malai Kofta  Vegetable Biryani  and Tandoori Roti! The Tandoori Roti was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-02-27T19:36:37.000778
REV-000087,ORD-20260227-843506,CUST-10004,REST-DXB-002,Outstanding experience! The Malai Kofta  Tandoori Roti  and Chicken 65 exceeded all expectations. Tandoori Roti was the star of the meal. Will definitely order again!,5,2026-03-04T21:15:41.000778
